prompt,label
"Design a simple confidence-based fallback rule so low-certainty classifications escalate to a stronger model.",moderate
"Suggest metrics to track for an LLM router during week one and explain why each matters.",moderate
"Create a one-page technical design for a service that routes prompts to weak, moderate, or strong models.",moderate
"Rewrite this onboarding guide so a new intern can follow it without prior project context.",moderate
"Help me compare SQLite and Postgres for an MVP that logs prompt routing decisions.",moderate
"Show me a Python example using scikit-learn TF-IDF with train test split and joblib save/load.",moderate
"Write a concise README section that explains how to run the API and dashboard locally.",moderate
"What edge cases should I test for a route endpoint that accepts arbitrary user prompts?",moderate
"Draft a JSON schema for validating a request body with prompt and optional user_id fields.",moderate
"Improve this prompt so the model returns structured JSON instead of a loose paragraph.",moderate
"Create a risk register for a week-one prototype that mixes local and API-based language models.",moderate
"Help me write a script that measures average response latency over 20 prompt samples.",moderate
"Give me a checklist for deploying a FastAPI app behind Nginx on a small VM.",moderate
"Explain why my text classifier may confuse medium and strong prompts and how to reduce that.",moderate
"Create a dashboard layout that shows route counts, average latency, and cumulative estimated cost.",moderate
"Suggest labels and examples for weak, moderate, and strong prompts so humans can annotate consistently.",moderate
"Write a docstring and type hints for a function that predicts a route and chooses a model.",moderate
"Help me make this customer support macro sound empathetic but still concise.",moderate
"Design a prompt template for summarizing incidents into impact, root cause, and next steps.",moderate
"Show how to read environment variables for API keys in Python without hardcoding secrets.",moderate
"Create a mock response generator so I can test the router before real model integrations exist.",moderate
"Explain the tradeoff between routing aggressively to cheap models and protecting answer quality.",moderate
"Write a Python function to compute precision, recall, and confusion matrix for three classes.",moderate
"Turn these raw support chats into labeled examples for easy, medium, and hard routing.",moderate
"Suggest a naming convention for model adapters and routing decisions in this codebase.",moderate
"How should I log failures when the external strong model API times out?",moderate
"Draft a lightweight database schema for storing prompts, predictions, chosen model, latency, cost, and timestamp.",moderate
"Write a changelog entry describing the first working MVP of an LLM router.",moderate
"I want a production-ready architecture for a multi-tenant LLM routing platform that classifies prompts by domain, sensitivity, and complexity, applies policy constraints, estimates token budgets, chooses among local Ollama models and multiple external providers, performs fallback and retry orchestration, logs every decision for audit, and exposes metrics for cost and quality analysis.",strong
"Design an evaluation strategy for an LLM router that combines offline classification metrics, online A/B tests, human preference judgments, response quality scoring rubrics, and drift detection over prompt distributions.",strong
"Write a detailed technical design for a resilient routing layer that supports streaming responses, provider outages, per-customer budgets, dynamic confidence thresholds, and asynchronous background evaluation jobs.",strong
"Given this incident timeline, infer likely systemic causes across model selection, caching, rate limiting, and queue backpressure, then propose short-term mitigation and longer-term architecture changes.",strong
"Create a step-by-step migration plan from a single FastAPI service into event-driven microservices while preserving audit trails, low latency, and tenant isolation.",strong
"Help me design a benchmark suite that tests local and API LLMs across summarization, reasoning, extraction, code generation, and safety-sensitive prompts with weighted scoring.",strong
"I need a policy engine design that routes prompts based on PII detection, jurisdiction, confidentiality level, and allowed providers, including explainable deny reasons.",strong
"Propose a robust fallback graph for weak, moderate, and strong models that considers confidence, prior failure rate, current latency percentile, and budget exhaustion.",strong
"Write a deeply reasoned plan for collecting human-labeled routing data, measuring annotator agreement, resolving ambiguity, and updating labels over time.",strong
"Design the full backend modules for training, inference, provider abstraction, cost estimation, persistence, observability, and admin controls for an LLM router.",strong
"Given a messy corpus of historical prompts and outcomes, define a data strategy for feature extraction, label bootstrapping, active learning, and periodic retraining.",strong
"Explain how to calibrate classifier probabilities and use them safely in routing decisions that affect both cost and answer quality.",strong
"Create a deployment architecture for a hybrid local plus cloud LLM router with autoscaling, secrets management, rollback strategy, and regional failover.",strong
"Write an implementation roadmap that sequences prototype, internal alpha, external beta, and production hardening milestones with measurable exit criteria.",strong
"Design a schema evolution plan for prompt logs that later adds feedback scores, token counts, provider trace IDs, and evaluation annotations without breaking queries.",strong
"Propose a mechanism for real-time provider health scoring that influences routing weights while avoiding oscillation and cascading failures.",strong
"I want a complete observability approach covering structured logs, traces, metrics, alert thresholds, and dashboard slices for model routing decisions.",strong
"Compare local quantized models versus premium API models for a business-critical router using dimensions like cost, latency variability, privacy, maintenance overhead, and failure modes.",strong
"Define a rigorous offline experiment to test whether a confidence threshold of 0.55 or 0.70 gives better cost-quality tradeoffs across three prompt classes.",strong
"Design an annotation guide that distinguishes prompt complexity from domain knowledge requirements and output criticality so labels are consistent.",strong
"Create a secure multi-provider credential strategy with rotation, scoping, tenant overrides, auditability, and incident response steps.",strong
"Help me reason about whether a single multiclass classifier is enough or whether we should move to hierarchical routing with specialist detectors.",strong
"Write a detailed plan for evaluating hallucination risk across routed responses and feeding that signal back into model choice.",strong
"Propose a quality estimation subsystem that predicts when a cheap-model answer is likely inadequate even before the answer is generated.",strong
"Design a governance workflow for approving new models into the router, including security review, benchmark gates, rollback criteria, and documentation.",strong
"I need a serious threat model for an LLM router that handles proprietary code, customer tickets, and regulated data.",strong
"Explain how to combine rule-based routing, classifier output, and provider constraints without creating contradictory decisions.",strong
"Draft a vendor-neutral provider adapter interface that supports sync and async calls, streaming, usage accounting, and structured errors.",strong
"Create a plan for synthetic data generation that augments rare strong prompts without distorting the real prompt distribution.",strong
"Define the database and storage strategy for retaining raw prompts, redacted prompts, responses, embeddings, and evaluation artifacts under retention policies.",strong
"Help me decide whether routing should happen before retrieval, after retrieval, or in two stages for a RAG-heavy product.",strong
"Write a design for budget-aware routing where each tenant has monthly caps, burst allowances, and downgrade behavior when nearing limits.",strong
"Propose how to use human feedback and outcome data to retrain both the classifier and routing policy without introducing harmful feedback loops.",strong
"Create a comprehensive test strategy spanning unit, integration, load, chaos, and regression tests for the LLM router platform.",strong
"Explain the tradeoffs of using TF-IDF plus logistic regression now versus transformers or embeddings later, with a migration path that preserves comparability.",strong
"Design a redaction pipeline that strips secrets and PII before prompts leave the local boundary, while keeping enough context for strong-model quality.",strong
"Given these hypothetical traffic patterns, estimate infrastructure bottlenecks and propose queueing, batching, and caching policies.",strong
"Write a plan for route-explanation features so operators can see why a prompt was sent to a given model and whether fallback rules were involved.",strong
"Define how to monitor prompt distribution drift, class imbalance, and calibration decay, and when to trigger retraining.",strong
"Propose a benchmarking harness that records latency distributions, answer ratings, token usage, and provider-specific failure patterns.",strong
"Design an experiment to compare several local Ollama models for the weak and moderate tiers using representative prompt sets and rubric-based scoring.",strong
"Create a detailed API contract for a routing service that supports synchronous route calls, async batch jobs, and admin analytics endpoints.",strong
"Help me think through legal, privacy, and compliance implications of shipping prompts to third-party providers in different regions.",strong
"Write an architecture for serving classification and routing decisions with low cold-start latency and safe model reloads.",strong
"Design a method to estimate expected answer quality before generation using prompt features, historical outcomes, and task category.",strong
"Outline how to introduce canary releases for new models and routing rules with automatic rollback on quality or latency regression.",strong
"Create a feedback ingestion design so users can rate answers, flag failures, and tie that back to routing analytics.",strong
"I need a robust schema and event model for capturing every routing decision, fallback, retry, provider error, and final outcome.",strong
"Show how we could evolve this MVP into an enterprise routing control plane with policy authoring, experiments, dashboards, and audit review.",strong
"Design a practical but rigorous framework for measuring business ROI of the router across latency, cost savings, and answer acceptability.",strong
"Explain how to avoid proxy metrics leading the router to optimize cost while silently harming user outcomes.",strong
"Create a decision memo comparing monolithic versus modular service design for the first six months of the router project.",strong
"Write a deep dive on failure handling when the local moderate model degrades gradually instead of failing outright.",strong
"Propose how to separate prompt complexity, risk sensitivity, and output-format strictness into different signals for routing.",strong
